Hugo_Symbol	All	70017	70027	70037	70047	70057	70067	70077	70087	70097	70107	70117	70137	70157	70167	70187	70197	70207	70217	70227	70237	70247	70267	70277	70287	70297	70307	70317	70327	70337	70347	70357	70367	70377	70387	70397	70517	70537	70547	70607	70627	70637	81603	83173	83703	87443	89503	89603	89633	90203	90703	90713	90803	90813	90853	91203	92603	93823	94213	94403	95003	95403	96733	96803	97003	97013	97093	97183	97323	98233	98353	98613	99453	99893
A1BG	121	0	0	0	0	1	0	0	0	0	8	0	1	1	8	8	0	7	0	1	1	0	0	1	2	17	0	8	2	0	6	11	25	0	4	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
A1CF	242	0	0	0	0	0	0	0	1	0	81	0	5	0	5	6	1	9	4	3	17	0	0	2	3	21	0	8	17	0	9	19	16	0	3	1	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A2BP1	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	379	0	1	0	0	1	0	0	1	0	77	3	2	0	14	10	1	9	6	3	21	0	0	7	2	43	1	17	11	3	32	31	60	0	3	0	0	0	0	1	0	1	1	2	0	2	2	0	0	1	0	0	0	0	1	0	1	1	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0
A2ML1	390	0	0	0	0	2	1	0	1	1	75	2	6	1	14	7	1	9	3	3	18	0	0	5	8	47	2	16	10	1	22	38	74	0	2	1	0	0	0	0	1	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	6	0	0	0	0	0	3	0	0	0	0
A3GALT2	29	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	4	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A4GALT	93	0	0	0	0	0	0	0	0	0	22	0	1	1	2	2	0	1	0	1	2	0	0	1	0	18	0	2	6	1	4	1	20	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0
A4GNT	104	0	0	0	0	0	0	0	0	0	7	0	3	0	3	1	0	5	1	1	11	0	0	1	2	20	1	2	2	0	2	15	17	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	97	1	0	0	0	0	0	1	0	0	14	0	0	0	3	2	1	5	0	2	2	0	0	4	0	20	0	3	1	0	10	4	20	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	130	0	1	0	0	0	0	1	0	0	15	0	4	0	2	2	1	4	2	3	5	0	0	2	2	19	0	3	2	2	10	15	26	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0
AADAC	115	0	0	0	0	0	0	0	0	0	29	0	0	0	2	2	0	6	1	0	7	0	0	0	1	18	0	7	3	0	8	7	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
AADACL2	146	0	0	0	0	1	0	0	2	0	33	0	1	0	6	3	1	2	1	4	9	0	0	0	0	27	1	7	0	0	10	10	18	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AADACL3	132	0	0	0	0	0	0	0	0	0	26	0	6	0	5	4	0	2	0	2	3	0	0	2	1	17	0	4	5	0	5	13	21	0	4	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0
AADACL4	136	0	0	0	0	1	1	0	0	1	22	0	2	0	8	1	0	5	2	0	5	0	0	2	0	18	0	6	13	0	4	7	23	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	2	0	0	0	0
AADAT	75	0	0	0	0	0	0	1	0	0	14	0	1	0	5	0	0	2	1	1	4	0	0	1	0	13	0	2	2	0	11	3	8	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	21	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	53	0	0	0	0	0	0	0	1	0	3	0	2	0	6	0	0	3	0	3	3	0	0	1	0	7	0	2	2	0	4	1	9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
AAK1	157	0	0	0	0	0	0	0	0	0	24	0	2	0	5	6	0	6	1	2	9	0	1	2	0	25	0	12	6	3	7	10	21	1	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	1	0	0	1	1	0	0	0	0
AAMDC	22	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	52	0	0	0	0	0	0	0	0	0	11	0	0	0	4	2	0	1	0	3	1	0	0	0	2	10	0	1	2	0	2	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AANAT	44	0	0	0	0	0	0	0	0	1	5	0	1	0	3	5	0	1	0	0	0	0	0	0	0	10	0	1	2	0	2	1	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
